Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Event ID,Event Title,Event Email,Event URL,Event Address,Event Location Name,Event Contact Name,Event Start Date,Event End Date,Event Start Time,Start Time Mode,Event End Time,End Time Mode,Event Country,Event Country Abbreviation,Event Region,Event Region Abbreviation,Event State,Event State Abbreviation,Event City,Event City Abbreviation,Event Neighborhood,Event Neighborhood Abbreviation,Event Postal Code,Event Phone,Event Short Description,Event Long Description,Event Keywords,Updated Date,Event Renewal Date,Event Status,Event Level,Event Category 1,Event Category 2,Event Category 3,Event Category 4,Event Category 5
,,,,,,,,,,,,,,,,,Mile High Futurity,,,,Arapahoe Park,,8/19/2012,8/19/2012,,,,,United States,USA,,,,CO,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Cherry Creek Futurity,,,,Arapahoe Park,,6/17/2012,6/17/2012,,,,,United States,USA,,,,CO,,,,,,,330,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Firecracker Futurity,,,,Delta Downs,,7/7/2012,7/7/2012,,,,,United States,USA,,,,LA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Delta Championship Challenge,,,,Delta Downs,,,,,,,,United States,USA,,,,LA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Develop A Plan Stakes,,,,Delta Downs,,,,,,,,United States,USA,,,,LA,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Lee Berwick Memorial Louisiana Bred Futurity,,,,Delta Downs,,7/14/2012,7/14/2012,,,,,United States,USA,,,,LA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Delta Downs Louisiana Breeders' Derby,,,,Delta Downs,,,,,,,,United States,USA,,,,LA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Breeders' Laddie Futurity,,,,Delta Downs,,5/26/2012,5/26/2012,,,,,United States,USA,,,,LA,,,,,,,330,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Breeders' Lassie Futurity,,,,Delta Downs,,5/26/2012,5/26/2012,,,,,United States,USA,,,,LA,,,,,,,330,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Classic ,,,,Delta Downs,,7/14/2012,7/14/2012,,,,,United States,USA,,,,LA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,John Alleman Memorial Stakes,,,,Delta Downs,,4/27/2012,4/27/2012,,,,,United States,USA,,,,LA,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Vals Fortune Stakes,,,,Delta Downs,,6/9/2012,6/6/2012,,,,,United States,USA,,,,LA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Vinton Stakes,,,,Delta Downs,,7/14/2012,7/14/2012,,,,,United States,USA,,,,LA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Qhba Futurity,,,,Evangeline Downs,,,,,,,,United States,USA,,,,LA,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Qhba Sale Futurity,,,,Evangeline Downs,,,,,,,,United States,USA,,,,LA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Billy Montgomery Evd Stakes,,,,Evangeline Downs,,,,,,,,United States,USA,,,,LA,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Derby,,,,Evangeline Downs,,,,,,,,United States,USA,,,,LA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Champions Day Classic,,,,Fair Grounds Race Course,,,,,,,,United States,USA,,,,LA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Champions Day Juvenile,,,,Fair Grounds Race Course,,,,,,,,United States,USA,,,,LA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Mid-City Stakes,,,,Fair Grounds Race Course,,,,,,,,United States,USA,,,,LA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Louisiana Champions Day Derby,,,,Fair Grounds Race Course,,,,,,,,United States,USA,,,,LA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,The Big Easy Stakes,,,,Fair Grounds Race Course,,,,,,,,United States,USA,,,,LA,,,,,,,330,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Speedhorse Gold And Silver Cup Futurity,,,,Fair Meadows,,8/4/2012,8/4/2012,,,,,United States,USA,,,,OK,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Speedhorse Gold And Silver Cup Derby,,,,Fair Meadows,,8/4/2012,8/4/2012,,,,,United States,USA,,,,OK,,,,,,,350,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Gillespie County Fair Futurity,,,,Gillespie Downs,,8/26/2012,8/26/2012,,,,,United States,USA,,,,TX,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Bitterroot Futurity,,http://idqhracing.com/wp-content/uploads/2009/10/2012-BR-DERBY-FORM-updated-0305121.pdf,,Les Bois Park,,,,,,,,United States,USA,,,,ID,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Dash For Cash Futurity,,http://www.lonestarpark.com/Horsemen/Stakes_Nominations/,,Lone Star Park at Grand Prairie,,,,,,,,United States,USA,,,,TX,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Refrigerator Handicap,,,,Lone Star Park at Grand Prairie,,,,,,,,United States,USA,,,,TX,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Texas Classic Derby,,,,Lone Star Park at Grand Prairie,,,,,,,,United States,USA,,,,TX,,,,,,,440,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Texas Classic Futurity,,,,Lone Star Park at Grand Prairie,,,,,,,,United States,USA,,,,TX,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Dash For Cash Derby,,,,Lone Star Park at Grand Prairie,,,,,,,,United States,USA,,,,TX,,,,,,,440,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,B F Phillips Jr Handicap,,,,Lone Star Park at Grand Prairie,,,,,,,,United States,USA,,,,TX,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Aqha Challenge Championship,,,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Aqha Distaff Challenge Championship,,,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Aqha Distance Challenge Championship,,,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,870,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Champion Of Champions,,http://www.losalamitos.com/Admin/pdfs/ElgLists/CC12ST.pdf,,Los Alamitos Race Course,,12/15/2012,12/15/2012,,,,,United States,USA,,,,CA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Ed Burke Million Futurity,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/Noms2013%20Ed%20Burke.pdf,,Los Alamitos Race Course,,6/24/2012,6/24/2012,,,,,United States,USA,,,,CA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Go Man Go Handicap,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,9/23/2012,9/23/2012,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Golden State Derby,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2013%20GSD%20Nom.pdf,,Los Alamitos Race Course,,8/26/2012,8/26/2012,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Golden State Million Futurity,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2013%20GSD%20Nom.pdf,,Los Alamitos Race Course,,11/4/2012,11/4/2012,,,,,United States,USA,,,,CA,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Los Alamitos Super Derby,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2013%20LosAl%20Super%20Derby.pdf,,Los Alamitos Race Course,,11/3/2012,11/3/2012,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Los Alamitos Two Million Futurity,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2013%20LAM%204pgr%20lo-res.pdf,,Los Alamitos Race Course,,12/16/2012,12/16/2012,,,,,United States,USA,,,,CA,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Los Alamitos Winter Championship,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Los Alamitos Winter Derby,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Mildred N Vessels Memorial Handicap,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,9/30/2012,9/30/2012,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Robert L Boniface Los Alamitos Inv'Nal Champ,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,10/28/2012,10/28/2012,,,,,United States,USA,,,,CA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Southern California Derby,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2012%20SoCalDerby%20Nom.pdf,,Los Alamitos Race Course,,12/23/2012,12/23/2012,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Vessels Maturity,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2012%20Vessels%20Mat%20Nom.pdf,,Los Alamitos Race Course,,7/8/2012,7/8/2012,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Aqha Derby Challenge Championship,,,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Aqha Juvenile Challenge Championship,,,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Charger Bar Handicap,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,El Primero Del Ano Derby,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2013%20El-La%20Nom.pdf,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Kindergarten Futurity,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2012%20Kindergarten%20Nom.pdf,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,300,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Pcqhra Breeders' Futurity,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/Noms_BreedersFuturity2012.pdf,,Los Alamitos Race Course,,10/6/2012,10/6/2012,,,,,United States,USA,,,,CA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Aqha Challenge Championship Qualifying Stakes,,,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,First Down Dash Handicap,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,12/22/2012,12/22/2012,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Kaweah Bar Handicap,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,La Primera Del Ano Derby,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2013%20El-La%20Nom.pdf,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Las Damas Handicap,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,11/18/2012,11/18/2012,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Los Alamitos Championship Challenge,,,,Los Alamitos Race Course,,8/19/2012,8/19/2012,,,,,United States,USA,,,,CA,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Los Alamitos Distaff Challenge,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,8/18/2012,8/18/2012,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Miss Princess Handicap,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,,,,,,,United States,USA,,,,CA,,,,,,,350,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Pcqhra Breeders' Derby,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/Nom_BreedersDerby2012.pdf,,Los Alamitos Race Course,,10/5/2012,10/5/2012,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Spencer Childers California Breeders' Championship,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,7/28/2012,7/28/2012,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Governor'S Cup Derby,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2013%20GSD%20Nom.pdf,,Los Alamitos Race Course,,7/28/2012,7/28/2012,,,,,United States,USA,,,,CA,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Governor'S Cup Futurity,,http://www.losalamitos.com/Admin/pdfs/NomBlanks/2013%20GSD%20Nom.pdf,,Los Alamitos Race Course,,7/28/2012,7/28/2012,,,,,United States,USA,,,,CA,,,,,,,350,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,California Breeders' Matron Stakes,,http://www.losalamitos.com/admin/pdfs/stakesbook.pdf,,Los Alamitos Race Course,,7/28/2012,7/28/2012,,,,,United States,USA,,,,CA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Harrah'S Entertainment Futurity,,,,Louisiana Downs,,,,,,,,United States,USA,,,,LA,,,,,,,300,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Mardi Gras Futurity,,,,Louisiana Downs,,,,,,,,United States,USA,,,,LA,,,,,,,300,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Billy Montgomery Lad Stakes,,,,Louisiana Downs,,,,,,,,United States,USA,,,,LA,,,,,,,350,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,Mr Jess Perry Louisiana Downs Stakes,,,,Louisiana Downs,,,,,,,,United States,USA,,,,LA,,,,,,,400,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico Breeders Championship,,,,New Mexico State Fair,,,,,,,,United States,USA,,,,NM,,,,,,,440,3U,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico State Fair Breeders' Derby,,,,New Mexico State Fair,,,,,,,,United States,USA,,,,NM,,,,,,,400,3yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,,,New Mexico State Fair Senor Futurity,,,,New Mexico State Fair,,,,,,,,United States,USA,,,,NM,,,,,,,400,2yo,Races || Futurity ,7/3/2012,1/1/2014,active,diamond,Quarter Horse Races,,,,
