Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,,,,,,,,,,,,156121,Hickory Ridge Ranch,,www.HickoryRidgeHunting.com,8594 E. 133 Road,,United States,USA,,,Oklahoma,OK,Lamar,,,,74850,,,(405) 379-3659,,Oklahoma Trophy Whitetail Deer Hunts. We are family owned and operated and we welcome young hunters.,"We at Hickory Ridge Ranch are avid bow hunters, so we understand the needs of the archer. With over 30 years of hunting experience we take pride in the make, quality, and locations of the bow stand and along with strategically placed rifle and muzzleloade",Wild Boar || Guns,1/19/2014,active,Promoted,Guides & Outfitters -> General,,,,,
,,,,,,,,,,,,,,,157248,Hog S.W.A.T,,www.HogSwat.com,PO Box 1056,,United States,USA,,,Georgia,GA,Leesburg,,,,31763,,,(229) 669-9748,,We are a hog control company in southwest Georgia offering fully guided hunts.,We offer a hunting adventure unlike any guided hunt you have ever experienced. We use hand held THERMAL optics to locate and semi auto rifles outfitted with thermal optics to harvest these beasts in the dark of night. We offer these hunting adventures yea,,1/1/2014,active,Promoted,Guides & Outfitters -> General,Guides & Outfitters -> Wild Boar & Javelina,,,,
,,,,,,,,,,,,,,,185681,"Northern Plains Outfitters, Inc.",,www.NorthernPlainsOutfitters.com,16429 Front St,,United States,USA,,,South Dakota,SD,Athol,,,,57424,,,(605) 380-9971,,"Northern Plains Outfitters, Inc. a South Dakota pheasant hunting outfitter located near Aberdeen and Redfield, SD.","Nestled in the Rolling Prairies and Vast Corn Fields of beautiful Northeast South Dakota is some of the finest pheasant hunting, archery whitetail hunting, spring snow goose hunting and south dakota bison hunts to be found anywhere in the World!  We just ",,1/1/2014,active,Promoted,Guides & Outfitters -> General,,,,,
,,,,,,,,,,,,,,,192304,Pheasant Ridge Hunting,,www.pheasantridgehunting.com,,,United States,USA,,,Oklahoma,OK,,,,,,,,(866) 486-8637,,"Located in the middle of the Oklahoma Panhandle, Pheasant Ridge is a 2000 acre working farm and ranch that offers all the comforts you would expect from a premier hunting lodge.",We will take you back to the old West setting which was established nearly 100 years ago. We combine our rustic setting with modern conveniences. We strive to make your hunt at Pheasant Ridge both relaxing and enjoyable.    At Pheasant Ridge we strive to ,,1/1/2014,active,Promoted,Guides & Outfitters -> General,,,,,
,,,,,,,,,,,,,,,195842,Quail Ridge Hunting & Sporting Clays,,www.quailridgehunting.com,,,United States,USA,,,Oklahoma,OK,Tecumseh,,,,73115,,,(405) 306-1578,,Quail Ridge is not just a HUNTING facility anymore. You can stay in the cabins or brand new bunkhouse throughout the summer.,"Quail Ridge is a family-owned business, established in 1999. Our mission is to help you forget about the cares of everyday life and enjoy the great outdoors. The facilities are family-friendly, and kids",,1/1/2014,active,Promoted,Guides & Outfitters -> Upland Game,,,,,
,,,,,,,,,,,,,,,201239,"Roberts Ranch Outfitters, LLC",robertsranchoutfitters@yahoo.com,www.robertsranchoutfitters.com,19276 CR NS 217,,United States,USA,,,Oklahoma,OK,Davidson,,,,73530,,,(580) 305-4868,,THE BEDROOM FOR TROPHY RED RIVER BUCKS,"Roberts Ranch Outfitters is comprised of 3,000 total acres.  All of our hunting areas have been pre scouted. They consist of rolling hills, plum thickets to sand hills. This Red River paradise is a haven for bucks with large mass. Lodging available to inc",,1/1/2014,active,Promoted,Guides & Outfitters -> General,Guides & Outfitters -> White-Tailed Deer,Guides & Outfitters -> Wild Boar & Javelina,Guides & Outfitters -> Dove,Guides & Outfitters -> Turkey,
,,,,,,,,,,,,,,,285549,Antelope Valley,,www.avschunt.com,45408 160th St. West ,,United States,USA,,,California,CA,Lancaster,,,,93536,,,(661) 724-1291,,,,Bird Hunting  ||  Dove  ||  Quail  ||  Pheasant  ||  Turkey  ||  Geese  ||  Clay Targets ,1/1/2014,active,Limited,Guides & Outfitters -> General,Guides & Outfitters -> Upland Game,Guides & Outfitters -> Dove,,,
,,,,,,,,,,,,,,,285576,American Sportsman Resort,info@americansportsmanresort.com,www.americansportsmanresort.com,1530 Goos Ferry Rd,,United States,USA,,,Louisiana,LA,Lake Charles,,,,70611,,,(337) 515-4868,(337) 734-3980,,,,1/1/2014,active,Limited,Guides & Outfitters -> General,Guides & Outfitters -> Water Fowl,Guides & Outfitters -> White-Tailed Deer,,,
,,,,,,,,,,,,,,,286017,Sika Deer Hunting,,www.SIKASTAG.COM,890 E Rt 70 Suite B,,United States,USA,,,New Jersey,NJ,Marlton,,,,8053,,,(888) 726-7863,,,,,1/1/2014,active,Promoted,Guides & Outfitters -> General,Guides & Outfitters -> Exotic,Guides & Outfitters -> Water Fowl,,,
,,,,,,,,,,,,,,,286018,Allen Brothers Hunting Preserve,rallen6@ec.rr.com,www.allenbrothers.org,6593 Center Rd,,United States,USA,,,North Carolina,NC,Bladenboro,,,,28320,,,(910) 736-5360,,,,Bird Hunting  ||  Pheasants         ,1/1/2014,active,Limited,Guides & Outfitters -> General,Guides & Outfitters -> White-Tailed Deer,Guides & Outfitters -> Water Fowl,Guides & Outfitters -> Upland Game,,
