Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Event ID,Event Title,Event Email,Event URL,Event Address,Event Location Name,Event Contact Name,Event Start Date,Event End Date,Event Start Time,Start Time Mode,Event End Time,End Time Mode,Event Country,Event Country Abbreviation,Event Region,Event Region Abbreviation,Event State,Event State Abbreviation,Event City,Event City Abbreviation,Event Neighborhood,Event Neighborhood Abbreviation,Event Postal Code,Event Phone,Event Short Description,Event Long Description,Event Keywords,Updated Date,Event Renewal Date,Event Status,Event Level,Event Category 1,Event Category 2,Event Category 3,Event Category 4,Event Category 5
,,,,,,,,,,,,,,,1,1,SPEEDHORSE Gold & Silver Cup Futurity-G2 (Trials),info@speedhorse.com,http://speedhorse.com,4145 E. 21st St.,"Fair Meadows - Tulsa, OK",, 07/21/2012, 07/21/2012,05:00,PM,11:55,PM,United States,USA,,,Oklahoma,OK,Tulsa,,,,74114,4052882145,"350 Yard SPEEDHORSE Gold & Silver Cup Futurity-G2 (Trials) $200,000","Subject to approval from OHRC When entering a Late Entry, pay the amount shown in the late column for that payment date plus all Regular payments to date and then resume normal payment schedule.If you miss your regular payment deadline, you may reinstate your horses by making a double payment of that payment date. This will only be good if the payment is made before the next scheduled payment by a postmarked letter. If two consecutive payments are missed then the entry will be ineligible, although you may reenter with late payments.Stallions Who Donated a 2012 Breeding Which Sold Or Paid A Participation Fee Will Be Eligible For Stallion AwardsHorses entering Race 1 or Race 2 who are by a stallion not listed in the Eligible Stallions List will be required to pay $350 additional with their first payment. Call for Eligible Stallions & Conditions.",Gold & Silver Cup Futurity || Trials || Speedhorse || Fair Meadows || Gold & Silver Cup || Futurity, 07/14/2012, 03/22/2013,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,2,2,SPEEDHORSE Gold & Silver Cup Futurity-G2,info@speedhorse.com,http://speedhorse.com,4145 E. 21st St,Fair Meadows ,, 08/04/2012, 08/04/2012,05:00,PM,11:55,PM,United States,USA,,,Oklahoma,OK,Tulsa,,,,74114,(405) 288-2145,"SPEEDHORSE Gold & Silver Cup Futurity-G2 $200,000 Added","Subject to approval from OHRC When entering a Late Entry, pay the amount shown in the late column for that payment date plus all Regular payments to date and then resume normal payment schedule. If you miss your regular payment deadline, you may reinstate your horses by making a double payment of that payment date. This will only be good if the payment is made before the next scheduled payment by a postmarked letter. If two consecutive payments are missed then the entry will be ineligible, although you may reenter with late payments. Stallions Who Donated a 2012 Breeding Which Sold Or Paid A Participation Fee Will Be Eligible For Stallion Awards Horses entering Race 1 or Race 2 who are by a stallion not listed in the Eligible Stallions List will be required to pay $350 additional with their first payment. Call for Eligible Stallions & Conditions.",SPEEDHORSE || Races || Fair Meadows || Gold & Silver Cup || Futurity || G2, 07/14/2012, 05/01/2013,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,4,4,SPEEDHORSE Gold & Silver Cup Derby-G3,info@speedhorse.com,http://speedhorse.com,4145 E. 21st St,Fair Meadows ,, 08/04/2012, 08/04/2012,05:00,PM,11:55,PM,United States,USA,,,Oklahoma,OK,Tulsa,,,,74114,(405) 288-2145,SPEEDHORSE Gold & Silver Cup Derby-G3,"Subject to approval from OHRC When entering a Late Entry, pay the amount shown in the late column for that payment date plus all Regular payments to date and then resume normal payment schedule. If you miss your regular payment deadline, you may reinstate your horses by making a double payment of that payment date. This will only be good if the payment is made before the next scheduled payment by a postmarked letter. If two consecutive payments are missed then the entry will be ineligible, although you may reenter with late payments. Stallions Who Donated a 2012 Breeding Which Sold Or Paid A Participation Fee Will Be Eligible For Stallion Awards Horses entering Race 1 or Race 2 who are by a stallion not listed in the Eligible Stallions List will be required to pay $350 additional with their first payment. Call for Eligible Stallions & Conditions.",SPEEDHORSE || Races || Fair Meadows || Gold & Silver Cup Derby-G3 || SPEEDHORSE Gold & Silver Cup || Derby || G3, 07/14/2012, 05/01/2013,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,5,5,SPEEDHORSE Paint & Appaloosa Futurity-G1 Trial,info@speedhorse.com,http://speedhorse.com,4145 E. 21st St,"Fair Meadows - Tulsa, OK",, 07/21/2012, 07/21/2012,05:00,PM,11:55,PM,United States,USA,,,Oklahoma,OK,Tulsa,,,,74114,(405) 288-2145,SPEEDHORSE Paint & Appaloosa Futurity-G1 (trials),"Subject to approval from OHRC When entering a Late Entry, pay the amount shown in the late column for that payment date plus all Regular payments to date and then resume normal payment schedule. If you miss your regular payment deadline, you may reinstate your horses by making a double payment of that payment date. This will only be good if the payment is made before the next scheduled payment by a postmarked letter. If two consecutive payments are missed then the entry will be ineligible, although you may reenter with late payments. Stallions Who Donated a 2012 Breeding Which Sold Or Paid A Participation Fee Will Be Eligible For Stallion Awards Horses entering Race 1 or Race 2 who are by a stallion not listed in the Eligible Stallions List will be required to pay $350 additional with their first payment. Call for Eligible Stallions & Conditions.",SPEEDHORSE || Races || Fair Meadows || Paint & Appaloosa Futurity || G1, 07/14/2012, 05/01/2013,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,6,6,SPEEDHORSE Paint & Appaloosa Futurity-G1,info@speedhorse.com,http://speedhorse.com,4145 E. 21st St,"Fair Meadows - Tulsa, OK",, 08/04/2012, 08/04/2012,05:00,PM,11:55,PM,United States,USA,,,Oklahoma,OK,Tulsa,,,,74114,(405) 288-2145,SPEEDHORSE Paint & Appaloosa Futurity-G1,"Subject to approval from OHRC When entering a Late Entry, pay the amount shown in the late column for that payment date plus all Regular payments to date and then resume normal payment schedule. If you miss your regular payment deadline, you may reinstate your horses by making a double payment of that payment date. This will only be good if the payment is made before the next scheduled payment by a postmarked letter. If two consecutive payments are missed then the entry will be ineligible, although you may reenter with late payments. Stallions Who Donated a 2012 Breeding Which Sold Or Paid A Participation Fee Will Be Eligible For Stallion Awards Horses entering Race 1 or Race 2 who are by a stallion not listed in the Eligible Stallions List will be required to pay $350 additional with their first payment. Call for Eligible Stallions & Conditions.",SPEEDHORSE || Races || Fair Meadows || Paint & Appaloosa Futurity, 07/14/2012, 05/01/2013,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,9,9,Lone Star Speedhorse Paint & Appaloosa Futurity-G1 Trials,,,1000 Lone Star Parkway  ,Lone Star RacePark,, 10/18/2012, 10/18/2012,06:00,PM,11:00,PM,United States,USA,,,Texas,TX,Grand Prairie,,,,75050,,For Two-year-old APHA/ApHC,Lone Star Speedhorse Paint & Appaloosa Futurity-G1 Trials,Lone Star || Paint & Appaloosa || Futurity || G1 || Trials, 07/12/2012, 01/01/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,8,8,Heritage Place Yearling Sale,info@heritageplace.com,http://www.heritageplace.com/index.html,2829 South MacArthur Blvd.,Heritage Place,, 09/20/2012, 09/22/2012,,PM,,PM,United States,USA,,,Oklahoma,OK,Oklahoma City,,,,73128,(405) 682-4551,DEADLINE TO CONSIGN IS JUNE 1ST!  ,This is the 34th annual Yearling Quarter Horse Sale event.,Heritage Place fall sale || sale || auction || heritage place, 07/12/2012, 01/01/2014,active,diamond,Sales & Auctions,,,,
,,,,,,,,,,,,,,,10,10,Lone Star Speedhorse Paint & Appaloosa Futurity-G1,,,1000 Lone Star Parkway ,Lone Star Park at Grand Prairie,, 11/02/2012, 11/02/2012,,PM,,PM,United States,USA,,,Texas,TX,Grand Prairie,,,,75050,,"$50,000 added",Lone Star Speedhorse Paint & Appaloosa Futurity-G1,, 07/12/2012, 01/01/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,11,11,Speedhorse Graham Paint & Appaloosa Futurity-G1 Trials,info@speedhorse.com,,1 Remington Place,Remington Park,, 05/11/2013, 05/12/2013,06:00,PM,12:00,AM,United States,USA,,,Oklahoma,OK,Oklahoma City,,,,73111,405-288-2145,For Two-year-old APHA/ApHC,Speedhorse Graham Paint & Appaloosa Futurity-G1 Trials,Speedhorse || Graham Paint & Appaloosa || Futurity || G1 || Trials || 2 YO || Two-year-old || APHA/ApHC, 07/13/2012, 01/01/2014,active,diamond,Quarter Horse Races,,,,
,,,,,,,,,,,,,,,12,12,Speedhorse Graham Paint & Appaloosa Futurity-G1,,,1 Remington Place,Remington Park,, 05/26/2012, 05/26/2012,,PM,,AM,United States,USA,,,Oklahoma,OK,Oklahoma City,,,,73111,,"$100,000 added for an estimated purse of $350,000",For two-year-old APHA/ApHC,, 07/12/2012, 01/01/2014,active,diamond,Quarter Horse Races,,,,
