Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Updated Date,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,,,,,,,,,,,,,,Little' s Gunsmith,tjlittle@charter.net,charter.net,5501 Cruce Road,,United States,USA,,,Alabama,AL,Adamsville,,,,35005,(205) 674-5050,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,TJ's Gunsmith,,,5501 Cruce Road,,United States,USA,,,Alabama,AL,Adamsville,,,,35005,(205) 674-5050,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,The Gun Rack of Aiken,tgrofaiken@gmail.com,,213 Richland Ave. W,,United States,USA,,,South Carolina,SC,Aiken,,,,29801,,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->South Carolina,,,,,
,,,,,,,,,,,,,,,,,WRG Gunsmithing,wrg10@windstream.net,,17266 St. Martin Rd.,,United States,USA,,,North Carolina,NC,Albemarle,,,,28001,(704) 322-7007,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
,,,,,,,,,,,,,,,,,Houck's Gunsmithing,houckswelding@embarqmail.com,embarqmail.com,3755 Airway Ln. Ne.,,United States,USA,,,Minnesota,MN,Alexandria,,,,56308,(320) 852-7711,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Minnesota,,,,,
,,,,,,,,,,,,,,,,,Red Bluff Lodge,redblufflodge@wildblue.net,,130 Boone Trail,,United States,USA,,,South Carolina,SC,Allendale,,,,29810-8150,(803) 584-7363,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->South Carolina,,,,,
,,,,,,,,,,,,,,,,,PROFESSIONAL RESTORATION & COMBAT GUNSMITHING,oregongunsmith@comcast.net,,21210 SW Johnson St,,United States,USA,,,Oregon,OR,Aloha,,,,97006,(503) 314-6231,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Oregon,,,,,
,,,,,,,,,,,,,,,,,Revelation Arms,roger@revelationarms.com,,21210 SW Johnson St,,United States,USA,,,Oregon,OR,Aloha,,,,97006,(503) 642-9066,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Oregon,,,,,
,,,,,,,,,,,,,,,,,Gander Mountain 401,gm401gs@gandermountain.com,,10300 West Interstate 40,,United States,USA,,,Texas,TX,Amarillo,,,,79124,(806) 354-9095,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Texas,,,,,
,,,,,,,,,,,,,,,,,Barton's Gun Service LLC,bartgunserv@yahoo.com,,24268 Jersey Lane,,United States,USA,,,Alabama,AL,Andalusia,,,,36421,(334) 488-6531,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->Alabama,,,,,
,,,,,,,,,,,,,,,,,TRAKS GUNSMITHING LLC,KCU@TRAKSGUNSMITHING.COM,,24 PERONA ROAD,,United States,USA,,,New Jersey,NJ,Andover,,,,07821,(973) 726-8616,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->New Jersey,,,,,
,,,,,,,,,,,,,,,,,"Accurate Innovations, Inc.",wes@accurateinnovations.com,accurateinnovations.com,47 McClelland Creek Rd,,United States,USA,,,North Carolina,NC,Andrews,,,,28901,(828) 321-9132,,,,Gunsmiths || Repair || Modifications,7/10/2012,1/1/2014,active,bronze,Archery & Firearms->Gunsmiths->North Carolina,,,,,
